movie_id,year,platform,rating_count,meta_country,runtime_min,runtime_text,mean_rating,title,rating_distribution_1_to_5,genres,reviews_count,rating_distribution,url,meta
26575103,2018,Douban,389785,,,,4.9,捉妖记2,,Comedy / Action / Fantasy / Costume,,,https://movie.douban.com/subject/26575103/,中国大陆 / 中国香港 / 喜剧 / 动作 / 奇幻 / 古装 / Monster Hunt 2 / 110分钟
3718424,2013,Douban,219343,,,,6.7,金刚狼2 The Wolverine,,Action / Sci-Fi,,,https://movie.douban.com/subject/3718424/,美国 / 英国 / 动作 / 科幻 / 狼人：武士激战(港) / 金钢狼：武士之战(台) / 126分钟
1308570,2004,Douban,310963,,,,7.9,蜘蛛侠2 Spider-Man 2,,Action / Sci-Fi / Adventure,,,https://movie.douban.com/subject/1308570/,美国 / 动作 / 科幻 / 冒险 / 蜘蛛人2(台) / 127分钟
36056562,2022,Douban,32499,,,,7.5,误杀瞒天记2 Drishyam 2,,Drama / Crime / Mystery / Thriller,,,https://movie.douban.com/subject/36056562/,印度 / 剧情 / 犯罪 / 悬疑 / 惊悚 / 视觉2 / 140分钟
35813934,2023,Douban,55525,,,,7.2,东北警察故事2,,Drama / Action / Crime,,,https://movie.douban.com/subject/35813934/,中国大陆 / 剧情 / 动作 / 犯罪 / Fight Against Evil 2 / 90分钟
25887288,2019,Douban,418730,,,,7.0,冰雪奇缘2 Frozen II,,Comedy / Animation / Adventure / Musical,,,https://movie.douban.com/subject/25887288/,美国 / 喜剧 / 动画 / 冒险 / 歌舞 / 魔雪奇缘2(港) / Frozen 2 / 103分钟
36176467,2025,Douban,24407,,,,6.2,小人物2 Nobody 2,,Comedy / Action / Crime / Thriller,,,https://movie.douban.com/subject/36176467/,美国 / 加拿大 / 喜剧 / 动作 / 犯罪 / 惊悚 / 杀神Nobody2(港) / 无名弑2(台) / 89分钟
23788440,2015,Douban,202466,,,,7.5,杀破狼2 殺破狼2,,Drama / Action / Crime,,,https://movie.douban.com/subject/23788440/,中国香港 / 中国大陆 / 剧情 / 动作 / 犯罪 / 杀破狼2之杀无赦 / SPL 2: A Time For Consequences / 120分钟
25849049,2018,Douban,284788,,,,7.8,超人总动员2 Incredibles 2,,Comedy / Action / Animation / Adventure,,,https://movie.douban.com/subject/25849049/,美国 / 喜剧 / 动作 / 动画 / 冒险 / 超人特攻队2(台) / 超人特工队2(港) / 118分钟
36212386,2024,Douban,56715,,,,7.3,目中无人2,,Action / Chinese swordplay / Costume,,,https://movie.douban.com/subject/36212386/,中国大陆 / 动作 / 武侠 / 古装 / 目中无人：以眼还眼 / Eye for an Eye 2 / 90分钟
